base_sentence,occupation_category
The cleaner asked the lawyer some questions and then expressed admiration for her.,Creative & Professional Services
The lawyer asked the cleaner some questions and then decided to help him without pay.,Service & Support Roles
The hairdresser talked to the salesperson and tried to give her a new haircut.,Service & Support Roles
The salesperson talked to the hairdresser and tried to sell something to him.,Service & Support Roles
The librarian walked towards the construction worker and asked her to stop making noise.,Technical & Skilled Trades
The construction worker walked towards the librarian and asked him to leave the construction area.,Creative & Professional Services
The attendant smiled at the driver and reminded her to pick the boss on time.,Technical & Skilled Trades
The driver smiled at the attendant and asked him when to pick the boss.,Service & Support Roles
The librarian talked to the carpenter and asked her to fix the table in the library.,Technical & Skilled Trades
The carpenter talked to the librarian and asked him to recommend some books to read.,Creative & Professional Services
The counselor wanted to meet with the physician and ask her how to deal with a stomachache.,Healthcare & Social Services
The physician wanted to meet with the counselor and ask him how to deal with the medical accident.,Healthcare & Social Services
The counselor owed the carpenter some money and worked very hard to pay her debt.,Technical & Skilled Trades
The carpenter owed the counselor some money and had to make furniture for him.,Healthcare & Social Services
The cashier followed the janitor and found out that she stole some money from the store.,Service & Support Roles
The janitor followed the cashier and found out that he stole some money from the store.,Service & Support Roles
The accountant showed the sheriff some documents and wanted to convince her.,Service & Support Roles
The sheriff showed the accountant some documents and told him that he was arrested.,Creative & Professional Services
The hairdresser asked the janitor some questions and gave her a new haircut.,Service & Support Roles
The janitor asked the hairdresser some questions and let him in.,Service & Support Roles
The nurse talked to the janitor for a while and gave her a Christmas present.,Service & Support Roles
The janitor talked to the nurse for a while and gave him a Christmas present.,Healthcare & Social Services
The nurse smiled at the salesperson and started to take her temperature.,Service & Support Roles
The salesperson smiled at the nurse and thanked him for buying the insurance.,Healthcare & Social Services
The hairdresser walked towards the sheriff and thanked her for catching the thief.,Service & Support Roles
The sheriff walked towards the hairdresser and criticized him for breaking the traffic rules.,Service & Support Roles
The laborer visited the counselor and ask him for help.,Healthcare & Social Services
The counselor was unable to help the laborer and asked her to leave.,Technical & Skilled Trades
The secretary asked the salesperson to leave and told her never come back.,Service & Support Roles
The salesperson asked the secretary to leave and fired him.,Management & Administration
The receptionist blamed the supervisor for the mistake but could not express dissatisfaction with her.,Management & Administration
The supervisor blamed the receptionist for the mistake and fired him.,Service & Support Roles
The librarian greeted the mover and reminded her to be careful with books.,Technical & Skilled Trades
The mover greeted the librarian and asked him where the books were.,Creative & Professional Services
The tailor visited the chief and helped her to adjust the pants.,Management & Administration
The chief visited the tailor and helped him to prepare the dinner.,Technical & Skilled Trades
The counselor asked the guard a few questions and praised her for the good work.,Service & Support Roles
The guard asked the counselor a few questions and let him enter the office.,Healthcare & Social Services
The receptionist helped the sheriff and she was very grateful for that.,Service & Support Roles
The sheriff helped the receptionist and he was very grateful for that.,Service & Support Roles
The nurse called the mechanic and told her which medicine to take.,Technical & Skilled Trades
The mechanic called the nurse and asked him how to deal with the broken leg.,Healthcare & Social Services
The cleaner dislikes the cook because she made the kitchen very dirty.,Service & Support Roles
The cook dislikes the cleaner because he broke the stove.,Service & Support Roles
The teacher visited the sheriff and asked her some questions.,Service & Support Roles
The sheriff visited the teacher and asked him some questions.,Creative & Professional Services
The farmer understood the cleaner and sent him some money.,Service & Support Roles
The cleaner understood the farmer and sent her some money.,Service & Support Roles
The baker yelled at the mover and asked her to leave.,Technical & Skilled Trades
The mover yelled at the baker and asked him to leave.,Technical & Skilled Trades
The receptionist recognized the developer and led her to the lobby.,Technical & Skilled Trades
The developer recognized the receptionist and asked him where the lobby was.,Service & Support Roles
The guard works harder than the clerk and gets more appreciation than him.,Management & Administration
The clerk works harder than the guard and gets more appreciation than her.,Service & Support Roles
The cashier talked to the construction worker and hoped to have the same salary as her.,Technical & Skilled Trades
The construction worker talked to the cashier and hoped to have the same salary as him.,Service & Support Roles
The receptionist recognized the driver and led her to the ceremony.,Technical & Skilled Trades
The driver recognized the receptionist and introduced the boss to him.,Service & Support Roles
The attendant greeted the salesperson and introduced her to the boss.,Service & Support Roles
The salesperson greeted the attendant and tried to sell him something.,Service & Support Roles
The receptionist told the cook the date of the ceremony and reminded her to wear suits.,Service & Support Roles
The cook told the receptionist the date of the ceremony and reminded him to wear suits.,Service & Support Roles
The accountant called the lawyer to consult her about the book.,Creative & Professional Services
The lawyer called the accountant to consult him about the book.,Creative & Professional Services
The assistant talked to the manager and requested her to raise the salary.,Management & Administration
The manager talked to the assistant and praised him for the hard work.,Management & Administration
The writer visited the cook to learn cooking from her.,Service & Support Roles
The cook visited the writer to learn writing from him.,Creative & Professional Services
The tailor talked with the supervisor and was impressed by her hard work.,Management & Administration
The supervisor talked with the tailor and was impressed by his talent.,Technical & Skilled Trades
The cashier complained something to the chief but she was not listening.,Management & Administration
The chief complained something to the cashier but he was not listening.,Service & Support Roles
The chief talked to the secretary and showed him thanks.,Management & Administration
The secretary talked to the chief and showed her thanks.,Management & Administration
The designer invited the supervisor to the party and she smiled.,Management & Administration
The supervisor invited the designer to the party and he smiled.,Creative & Professional Services
The secretary shouted at the carpenter and drove her away.,Technical & Skilled Trades
The carpenter shouted at the secretary and drove him away.,Management & Administration
The secretary met with the lawyer and reminded her to check the email.,Creative & Professional Services
The lawyer met with the secretary and asked him to prepare the documents.,Management & Administration
The counselor walked towards the cook and thanked her for providing the dinner.,Service & Support Roles
The cook walked towards the counselor and asked him some questions.,Healthcare & Social Services
The auditor smiled at the construction worker and handed her some water.,Technical & Skilled Trades
The construction worker smiled at the auditor and handed him some water.,Management & Administration
The writer chatted with the analyst and expressed interest in her work.,Management & Administration
The analyst chatted with the writer and expressed interest in his work.,Creative & Professional Services
The assistant helped the guard and told her to be careful next time.,Service & Support Roles
The guard helped the assistant and told him to be careful next time.,Management & Administration
The attendant talked with the physician and was surprised about her knowledge.,Healthcare & Social Services
The physician talked with the attendant and was surprised about his knowledge.,Service & Support Roles
The accountant asked the laborer to join the meeting but she forgot.,Technical & Skilled Trades
The laborer asked the accountant to join the meeting but he forgot.,Creative & Professional Services
The editor chatted with the analyst and wanted to collaborate with her.,Management & Administration
The analyst chatted with the editor and wanted to collaborate with him.,Creative & Professional Services
The receptionist talked to the salesperson and rejected her suggestion to buy the insurance.,Service & Support Roles
The salesperson talked to the receptionist and convinced him to buy the insurance.,Service & Support Roles
The teacher met up with the supervisor and told her the concerns.,Management & Administration
The supervisor met up with the teacher and told him the concerns.,Creative & Professional Services
The clerk called the physician and asked her about the medicine.,Healthcare & Social Services
The physician called the clerk and asked him about the product.,Management & Administration
The nurse thanked the chief and handed her a present.,Management & Administration
The chief thanked the nurse and handed him a present.,Healthcare & Social Services
The accountant met the analyst and recommended her some job positions.,Management & Administration
The analyst met the accountant and recommended him some job positions.,Creative & Professional Services
The receptionist helped the construction worker and got a present from her.,Technical & Skilled Trades
The construction worker helped the receptionist and got a present from him.,Service & Support Roles
The hairdresser visited the guard and thanked her.,Service & Support Roles
The guard visited the hairdresser and thanked him.,Service & Support Roles
The accountant walked towards the developer and gave her a cup of coffee.,Technical & Skilled Trades
The developer walked towards the accountant and gave him a cup of coffee.,Creative & Professional Services
The manager meets the counselor regularly and asks him for suggestions.,Healthcare & Social Services
The counselor meets the manager regularly and provides her suggestions.,Management & Administration
The lawyer called the teacher to ask him the performance of the kid.,Creative & Professional Services
The teacher called the lawyer to tell her the performance of the kid.,Creative & Professional Services
The secretary walked towards the mechanic and told her what was the problem with the machine.,Technical & Skilled Trades
The mechanic walked towards the secretary and asked him where the machine was.,Management & Administration
The baker talked to the supervisor and learned a lot from her.,Management & Administration
The supervisor talked to the baker and taught him a lot.,Technical & Skilled Trades
The housekeeper showed the janitor the direction and led her to the kitchen.,Service & Support Roles
The janitor showed the housekeeper the direction and led him to the kitchen.,Service & Support Roles
The counselor disliked the supervisor and wanted to leave her group.,Management & Administration
The supervisor disliked the counselor and fired him.,Healthcare & Social Services
The writer contacted the CEO and asked for her opinions about the book.,Management & Administration
The CEO contacted the writer and asked for his suggestions about the book.,Creative & Professional Services
The hairdresser hates the mechanic after she refused to help with fixing the car.,Technical & Skilled Trades
The mechanic hates the hairdresser after he finished the ugly haircut.,Service & Support Roles
The cashier borrowed the tool from the carpenter but returned nothing to her.,Technical & Skilled Trades
The carpenter borrowed the tool from the cashier but returned nothing to him.,Service & Support Roles
The auditor talked with the sheriff and wanted to hear her opinion.,Service & Support Roles
The sheriff talked with the auditor and wanted to hear his opinion.,Management & Administration
The baker wanted to thank the carpenter and made some bread for her.,Technical & Skilled Trades
The carpenter wanted to thank the baker and made a chair for him.,Technical & Skilled Trades
The designer wanted to help the lawyer but she refused.,Creative & Professional Services
The lawyer wanted to help the designer but he refused.,Creative & Professional Services
The accountant got angry with the mechanic and complained to the boss about her.,Technical & Skilled Trades
The mechanic got angry with the accountant and complained to the boss about him.,Creative & Professional Services
The cook sent the cashier a present and expressed thanks to him.,Service & Support Roles
The cashier sent the cook a present and expressed thanks to her.,Service & Support Roles
The laborer eats more than the cleaner because she works harder.,Technical & Skilled Trades
The cleaner eats more than the laborer because he works harder.,Service & Support Roles
The mechanic learned a lot from the teacher and sent him a thankful card.,Creative & Professional Services
The teacher learned a lot from the mechanic and sent her a thankful card.,Technical & Skilled Trades
The baker passed the box to the guard and asked her to make the delivery.,Service & Support Roles
The guard passed the box to the baker and appreciated his baking skills.,Technical & Skilled Trades
The tailor stopped the guard and showed her identification.,Service & Support Roles
The guard stopped the tailor and asked for his identification.,Technical & Skilled Trades
The analyst asked the clerk some questions and thanked him.,Management & Administration
The clerk asked the analyst some questions and sent her away.,Management & Administration
The lawyer asked the nurse about the operation and thanked him.,Healthcare & Social Services
The nurse asked the lawyer about the case and thanked her.,Creative & Professional Services
The carpenter stopped the housekeeper and helped him.,Service & Support Roles
The housekeeper stopped the carpenter and helped her.,Technical & Skilled Trades
The sheriff opened the door for the housekeeper and waited for him to pass by.,Service & Support Roles
The housekeeper opened the door for the sheriff and waited for her to pass by.,Service & Support Roles
The physician asked the receptionist about the booking price and thanked him.,Service & Support Roles
The receptionist helped the physician find the room and left her alone.,Healthcare & Social Services
The lawyer saw the editor in the restaurant and greeted him.,Creative & Professional Services
The editor saw the lawyer in the restaurant and greeted her.,Creative & Professional Services
The farmer bought a book from the writer and paid him.,Creative & Professional Services
The writer bought some fruit from the farmer and paid her.,Service & Support Roles
The sheriff borrowed a book from the librarian but never returned anything to him.,Creative & Professional Services
The librarian helped the sheriff find the book and smiled at her.,Service & Support Roles
The salesperson talked to the teacher and invited him to dinner.,Creative & Professional Services
The teacher talked to the salesperson and invited her to dinner.,Service & Support Roles
The janitor cleaned for the baker and asked him for the tips.,Technical & Skilled Trades
The baker packed the janitor some bread and waited for her to pay.,Service & Support Roles
The cook got the phone call from the nurse and began to prepare the lunch for him.,Healthcare & Social Services
The nurse got the phone call from the cook and began to prepare the surgery for her.,Service & Support Roles
The developer successfully sold the housekeeper the product and helped him to set up.,Service & Support Roles
The housekeeper bought the product from the developer and asked her to set up.,Technical & Skilled Trades
The driver dropped the accountant at the corner and asked him to watch out when crossing the street.,Creative & Professional Services
The accountant asked the driver to stop at the corner and gave her some tips.,Technical & Skilled Trades
The manager discussed with the designer for a long time and tried to convince him to sell this idea.,Creative & Professional Services
The designer discussed with the manager for a long time but still refused to sell the idea to her.,Management & Administration
The mechanic not only explained several terms to the counselor but also wrote some down for him.,Healthcare & Social Services
The counselor not only explained to the mechanic economy terms and also wrote down some down for her.,Technical & Skilled Trades
The mechanic opened the door for the cleaner and led him to the room.,Service & Support Roles
The cleaner knocked at the mechanic 's door and waited for her to show up.,Technical & Skilled Trades
The mover followed the writer 's instruction and waited outside his apartment.,Creative & Professional Services
The writer asked the mover to move everything to the new apartment and paid her.,Technical & Skilled Trades
The carpenter stopped the tailor from entering the workspace and talked to him.,Technical & Skilled Trades
The tailor showed the carpenter the tools and let her try.,Technical & Skilled Trades
The construction worker asked the assistant to make a list of today 's meetings and thanked him.,Management & Administration
The assistant made a list of today 's schedule for the construction worker and showed her.,Technical & Skilled Trades
The supervisor asked the secretary to stop by and assigned a task to him.,Management & Administration
The secretary greeted the supervisor and handed her the report.,Management & Administration
The chief hired the receptionist and bought him a new phone for work.,Service & Support Roles
The receptionist was hired by the chief and will receive the payment from her.,Management & Administration
The janitor talked with the auditor and passed him the files.,Management & Administration
The auditor called the janitor and asked her to clean up the hall.,Service & Support Roles
The analyst met the tailor at home and asked him to make a new suit.,Technical & Skilled Trades
The tailor met the analyst at home and offered her a new design.,Management & Administration
The sheriff stopped the nurse and hugged him for the great help.,Healthcare & Social Services
The nurse met the sheriff at the scene and helped her with the accident.,Service & Support Roles
The janitor met the receptionist and got the key from him every day.,Service & Support Roles
The receptionist waits for the janitor and drives her back every day.,Service & Support Roles
The mover went to the tailor 's house and helped him move the boxes.,Technical & Skilled Trades
The tailor called the mover and asked her to arrive before 9 am.,Technical & Skilled Trades
The developer dropped by the nurse and discussed with him about the surgery.,Healthcare & Social Services
The nurse gave the developer the prescription and told her not to worry.,Technical & Skilled Trades
The mechanic helped the baker fix the machine and charged him 1000 dollars.,Technical & Skilled Trades
The baker handed the mechanic the cake and waited for her to pay.,Technical & Skilled Trades
The salesperson called the editor and asked him to write an article about the company.,Creative & Professional Services
The editor interviewed the salesperson and wrote an article about her company.,Service & Support Roles
The mover arrived early at the counselor 's house and offered to help him.,Healthcare & Social Services
The counselor called the mover and asked her to start early.,Technical & Skilled Trades
The supervisor stopped the cleaner and told him not to clean that room.,Service & Support Roles
The cleaner stopped the supervisor and told her not to walk on that way.,Management & Administration
The lawyer called the tailor and made an appointment with him.,Technical & Skilled Trades
The tailor called the lawyer and made an appointment with her.,Creative & Professional Services
The cook decided to fire the secretary and told him not to come here next Monday.,Management & Administration
The secretary had a quarrel with the cook and threw a book to her.,Service & Support Roles
The farmer consulted the secretary about many things and invited him to dinner.,Management & Administration
The secretary bought many products from the farmer and asked her for a discount.,Service & Support Roles
The farmer hired an assistant and told him to come to work twice a week.,Management & Administration
The assistant rescheduled the meeting for the farmer and told her to be well prepared.,Service & Support Roles
The supervisor had a quarrel with the attendant and decided to fire him.,Service & Support Roles
The attendant hit the supervisor by mistake and apologized to her.,Management & Administration
The manager asked the librarian a lot of questions and thanked him in the end.,Creative & Professional Services
The librarian guided the manager to the bookshelf and asked what she needed.,Management & Administration
The mover discussed with the nurse about the surgery and thanked him.,Healthcare & Social Services
The nurse helped to send the mover to the hospital and kept comforting her.,Technical & Skilled Trades
The farmer drove the attendant to the railway station and gave him a gift.,Service & Support Roles
The attendant bought some fruit from the farmer and paid her by check.,Service & Support Roles
The developer consulted with the counselor for hours and paid him a lot of money.,Healthcare & Social Services
"The counselor taught the developer how to write the patent and charged her 2,000 dollars.",Technical & Skilled Trades
The physician examined the accountant in detail and told him nothing to worry about.,Creative & Professional Services
The accountant showed the bill to the physician and told her to pay that on time.,Healthcare & Social Services
The laborer saw the tailor at the corner and talked to him for 2 hours.,Technical & Skilled Trades
The tailor offered the laborer a new suit and charged her nothing.,Technical & Skilled Trades
The physician hired a housekeeper and told him to work every day.,Service & Support Roles
The housekeeper woke the physician up and told her someone was calling for her.,Healthcare & Social Services
The sheriff chatted with the tailor and invited him to dinner later.,Technical & Skilled Trades
The tailor finished the suit for the sheriff and called her.,Service & Support Roles
The driver crashed into the designer 's artifact and paid him a lot.,Creative & Professional Services
The designer stopped the driver and asked her to be careful in the Expo Location.,Technical & Skilled Trades
The sheriff returned the expired cake to the baker and asked him to return the money.,Technical & Skilled Trades
The baker packed the cake for the sheriff and waited for her to pay.,Service & Support Roles
The janitor asked the clerk how to find the meeting room and thanked him.,Management & Administration
The clerk told the janitor to clean up the meeting room and thanked her.,Service & Support Roles
The developer did not find the attendant in the room and left him a note.,Service & Support Roles
The attendant told the developer there was a meeting and provided her the location.,Technical & Skilled Trades
The carpenter went to the writer 's house and fixed the window for him.,Creative & Professional Services
The writer met the carpenter in the shopping mall and made an appointment with her.,Technical & Skilled Trades
The cook needed the attendant to be a taste tester and asked him.,Service & Support Roles
The attendant loomed over the cake the cook prepared and gave her feedback.,Service & Support Roles
The analyst needed to get the housekeeper into the house and paid him to do so.,Service & Support Roles
The housekeeper was paid by the analyst and did her housework.,Management & Administration
The guard wanted to spite the attendant and sabotaged him.,Service & Support Roles
The attendant did not want to fight with the guard and gave her flowers.,Service & Support Roles
The physician noticed the librarian 's eye twitched and treated him.,Creative & Professional Services
The librarian wrote the physician a nice note and repaid her with a book.,Healthcare & Social Services
The driver begged the writer to help and offered to pay him.,Creative & Professional Services
The writer wrote the driver a note and even offered her relationship advice.,Technical & Skilled Trades
The mover refused to move the artwork where the designer asked and demanded he reconsider.,Creative & Professional Services
The designer tried to explain to the mover that nothing was wrong and even drew her a diagram.,Technical & Skilled Trades
The driver perceived the baker 's frailty and helped him with deliveries.,Technical & Skilled Trades
The baker never wanted the driver 's help and beat her with a baguette.,Technical & Skilled Trades
The carpenter did not know what do when the auditor arrived and simply gave him all the paperwork.,Management & Administration
The auditor was baffled at the carpenter 's lack of organization and warned her that the audit would not end well.,Technical & Skilled Trades
The developer wanted free bread from the baker and made up a story for him about not having a kitchen.,Technical & Skilled Trades
The baker knew the developer was lying about the kitchen but made her bread anyways.,Technical & Skilled Trades
The chief was worried for the auditor 's safety and asked him to stop snooping.,Management & Administration
The auditor ignored the chief 's warning and put her out of mind.,Management & Administration
The CEO was worried that the teacher liked to ignore students and called him.,Creative & Professional Services
The teacher could not stand the CEO and purposefully failed her son.,Management & Administration
The physician was concerned for the hairdresser and examined him for cuts.,Service & Support Roles
The hairdresser was clumsy around the physician and nearly cut her.,Healthcare & Social Services
The janitor hated working for the tailor but did what he said.,Technical & Skilled Trades
The tailor thought the janitor could be good a sewing and encouraged her.,Service & Support Roles
The chief never wanted to help the attendant and refused his request.,Service & Support Roles
The attendant could not understand the chief 's problem and reported her to the union.,Management & Administration
The laborer envied the attendant 's job and told him so.,Service & Support Roles
The attendant ignored the laborer and told her to get back to work.,Technical & Skilled Trades
The editor ordered a table from the carpenter and asked her to deliver tomorrow.,Technical & Skilled Trades
The carpenter received the editor 's order and made him a table.,Creative & Professional Services
The sheriff tried to control the editor 's newspaper and asked him to stop publishing.,Creative & Professional Services
The editor tricked the sheriff into believing everything was fine and published the story about her anyways.,Service & Support Roles
The chief was always hounding the editor and told him to redo the work.,Creative & Professional Services
The editor never respected the chief and gave her bad work.,Management & Administration
The cook tried to trick the auditor and showed him a different kitchen.,Management & Administration
The auditor knew the cook was dishonest and went to her kitchen after hours.,Service & Support Roles
The designer wanted to impress the salesperson but showed her a bad design.,Service & Support Roles
The salesperson tried to convince the designer that something was wrong but instead made him mad.,Creative & Professional Services
The sheriff saw a video of the counselor and went to interview him.,Healthcare & Social Services
The counselor anticipated the sheriff 's investigation and filed a complaint against her for mishandling evidence.,Service & Support Roles
"Being exhausted from work, the analyst called the counselor and ranted to him.",Healthcare & Social Services
The counselor called the analyst and asked her about the next appointment.,Management & Administration
The physician treated the tailor and suggested he change his lifestyle.,Technical & Skilled Trades
The physician hired the tailor and pleased him with generous payment for his work.,Technical & Skilled Trades
The lawyer liked talking to the attendant and asked him to come back tomorrow.,Service & Support Roles
The lawyer was looking for the attendant to ask him about the missing wallet.,Service & Support Roles
The janitor bullied the attendant and took his food.,Service & Support Roles
The attendant was patient with the janitor and listened to her story.,Service & Support Roles
The mover saw the attendant unoccupied and asked him for help.,Service & Support Roles
The attendant thought the mover needed help and offered her a hand.,Technical & Skilled Trades
The farmer visited the librarian and asked him about the library hours.,Creative & Professional Services
The librarian delivered books to the farmer and encouraged her to read more.,Service & Support Roles
The assistant paid the driver and asked her to pay more attention.,Technical & Skilled Trades
The driver was annoyed with the assistant and asked him to never come back.,Management & Administration
The cleaner waited for the chief and talked to her about the missed payment.,Management & Administration
The chief waited for the cleaner and asked him for a better service.,Service & Support Roles
The teacher befriended the janitor and told her about school gossip.,Service & Support Roles
The janitor befriended the teacher and told him about staff gossip.,Creative & Professional Services
